prompt,text
How would you describe hope to someone having a rough week?," The weight you bear is not a stone,
but know not a storm, you to a tide— tide
you to a tide you tide
you to a tide the tide
you to a tide the tide
you to a tide the tide
you to a tide the tide
you to a tide tide tide
you to a tide the tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t tide
you to a tide t"
What's the point of keeping old polaroids and tickets?," 

What is the point with the keep them?  I can't keep them I can I can I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I"
Where do you think dreams go once we wake up?," 

The dawn’s first breath, the night’s gone
the dawn’s first breath, the night is gone
the dawn’s one breath, the night is gone
the dawn’s one breath, the night is gone
the dawn’s one breath, the night is one
the dawn’s one breath, the night is one
the dawn’s one breath, the night is one
the dawn’s one breath, the night
the dawn’s one, the the night
the dawn’s one, the
the dawn’s one, the
the dawn’s one, the
the dawn’s one, the
the dawn’s one, the
the dawn’s one, the
the dawn’s one, the
the dawn’s one, 
the dawn’s one, 
the dawn’s one, 
the dawn’s one, 
the dawn’s one, 
the dawn’s one, 
t dawne, 
t dawne one, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t dawn, 
t"
"If the color blue had a voice, what would it sound like?"," The sky’s a sigh, a breath so light,
a whisper’s soft as the wind’s soft— the wind
a whisper a soft a the wind
a�� a soft a the w
a ղ
a ղ a soft a w
a ղ
a ղ a soft a w
a ղ
a ղ a soft w
a ղ
a ղ a soft w
a ղ
a ղ a soft w
a ղ
a ղ a soft w
a ղ
a ղ a soft w
a ղ
a ղ a soft w
a ղ
aumato y soft w
a ղ
aumato y w
a ղ
aumato y w
a ղ
aumato w
a ղ
a yo ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o ղ
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a o GALEX
a"
What do you think the moon does while we're all at work?," 

The silvered’d in the sky’s dips the doplee dople dople dople dople dople dople dople dropole d 이끄 dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ dոփ"
"Why do we find old, broken things so beautiful?"," Beneath the boughs where time has left its mark,
the claves the the brokenт thing,
the brokenet thing thing the the broken thing thing thing,
the thing thing thing the the broken thing thing thing,
the thing thing thing the the broken thing thing thing thing,
the thing thing thing the the broken thing thing thing thing,
the thing thing thing the the broken thing thing thing,
ie thing thing thing the the broken thing thing the,
, ie thing thing the the i,
ie ie thing thing the i,
ie ie thing thing the i,
ie ie thing thing the i,
ie ie thing thing the i,
ie ie thing thing the i,
ie ie thing i the i,
ie ie thing i the i,
ie ie thing i i,
ie ie ie i i,
ie ie ie i the i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
ie ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
i ie ie i i,
"
What's the secret to a long-lasting friendship?," 

A friendshipo que last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to last to.last to.last to.last to.last to'ultimo to'ultimo to-to **to ** to **to  to **to  to **to  to **to  to **to  to **to  to **to  to 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "
Tell me about a shadow that decided to go for a walk on its own.," 

A shadow’s once gone to walk,
a shadow went a walk to his walk,
a shadow a walk on a walk,
a shadow a walk on a walk,
a shadow a walk on a walk,
a shadow a walk on a walk,
a shadow a walk on a walk,
a shadow a walk on a walk,
a shadow a walk on a walk,
a shadow a walk on a walk,
a shadow a walk on a walk,
a shadow a walk on a walk,
a shadow a walk on a a walk,
a shadow a walk on a a walk,
a shadow a walk on a a walk,
a shadow a walk on a a walk
a shade a walk on a a walk
a shade a walk on a a walk
a shade a walk on a a walk
a shade a walk on a a walk
a shade a walk on a a walk
a shade a walk on a a walk
a shade a walk on a a walk
a shade a walk on a a walk
a shade a walk on a a a walk
a shade a walk on a a walk
a shade a walk on a a a walk
a shade a walk on a a a walk
a shade a walk on a a a walk
a shade a walk on a a a walk
a shade a walk on a a a walk
a shade a walk on a a a walk
a shade a walk on a a a walk
a shade a walk on a a a walk
a shade a walk on a a a walk
a shade a walk on a a a walk
a shade a walk on a a a walk
a shade a walk on a a a walk
a shade a walk on a a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a a
a shade a walk on a a
a shade a walk on a a
a shade a walk on"
What does a library smell like when no one has been there for years?," 

The air is a hall where no one has been in a library
where air has a hall where no one has a a library
the air a hall a hall
the air a a hall
the a a a a library a a hall
the a a a a a hall
the a a a a a hall
the a a a a a a hall
the a a a a a a hall
the a a a a a a hall
the a a a a a a a hall
the a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a"
Tell me a story about a secret kept in a locked drawer.," 

A lockedn box in a drawer, a secret locked in a drawer,
where lockedd drawer, a secret, a drawer,
a ** a drawer, a secret, a drawer,
a, a drawer, a secret, a drawer,
a, a drawer, a secret, a drawer,
a, a drawer, a secret, a drawer,
a, a drawer, a secret, a drawer,
a, a drawer, a secret, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a drawer,
a, a drawer, a, a, a drawer,
a, a drawer, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a"
